Looking For Landers, Hopper, Impactors					Only landers that have made it to the Moon - including crashed landers							
												
							Lander Lunar Location (Long-Lat) 					
Lander Name 	Mission Components 	Lander Country 	Mission Start Date	Mission End Date	Lander Mission Objective	Lander findings 	N/S	E/W	Crater Name	Mission Implications	Links 	Summary For Site
Ranger 4	Impactor and Lander	USA	1962	1962	Transmist pictures of the lunar surface during 10 minute period before impacting the surface - rough-land a seimometer capsule - collect gama-ray data in flight - study radar reflectivity - Continue ranger program for development of lunar and interplanetary space craft	Crashed on Surface - First American space craft to impact on moon 	-15.5	-130.7	Orientale Basin	Was the first American Mission to impact the Moon - even though not under controlled impact 	Ranger 4 - Wikipedia	Ranger 4 was an American lunar mission launched in 1962 with the goal of transmitting pictures of the lunar surface for a brief 10-minute period before impacting the surface. It was also tasked with rough-landing a seismometer capsule, collecting gamma-ray data in flight, studying radar reflectivity, and continuing the Ranger program, which aimed to advance lunar and interplanetary spacecraft development. Unfortunately, the spacecraft crashed on the Moon's surface, making it the first American mission to impact the Moon. Its landing site was located at coordinates -15.5, -130.7. Despite the uncontrolled impact, the mission marked a key milestone in the U.S. space exploration efforts.
Ranger 6 	Impactor 	USA	1964	1964	Transmit high resolution images during descent to Moon back to Earth 	Crashed on Surface of Moon - Failed to send images 	9.33	21.52	Mare Tranquillitatis	Was a succesful mission when it came to targetted and controlled impacting the Moon - No longer had solar panel issues like Ranger 4 and 5	Ranger 6 - Wikipedia	Ranger 6 was a U.S. lunar mission launched in 1964 with the primary objective of transmitting high-resolution images of the Moon's surface during its descent. However, despite a successful and controlled impact on the Moon's surface in Mare Tranquillitatis (coordinates 9.33, 21.52), the mission failed to send any images back to Earth. Unlike its predecessors, Ranger 4 and 5, it did not experience issues with its solar panels. Although the spacecraft was successful in its target impact, the failure to transmit data rendered the mission incomplete.
Ranger 7 	Impactor 	USA 	July 28, 1964	July 29, 1964	Transmist close-up images of the lunar surface back to Earth	Lunar Surface Images used to help select landing sites for Apollo missions and for scientific study	-10.634	-20.6771	Between Mare Nubium and Oceanus Procellarum	Was the first fully succesful mission in the Ranger Program - Proving that all systems were working and operational, and theat improvements could begin as the base systems had been fully tested. 	Ranger 7 - Wikipedia	Ranger 7, launched by the USA on July 28, 1964, was the first fully successful mission in the Ranger program. Its primary objective was to transmit close-up images of the lunar surface back to Earth. The spacecraft impacted the Moon between Mare Nubium and Oceanus Procellarum (coordinates -10.634, -20.6771) on July 29, 1964, and successfully transmitted detailed images. These images were crucial for selecting landing sites for future Apollo missions and for advancing scientific knowledge of the Moon's surface. Ranger 7 proved that all systems were operational and functional, marking a key milestone in the Ranger program and laying the foundation for future improvements in lunar exploration.
Ranger 8 	Impactor 	USA 	February 20, 1965	February 21, 1965	Transmist close-up images of the lunar surface back to Earth	Lunar Surface Images used to help select landing sites for Apollo missions and for scientific study	2.6377	24.7881	Mare Tranquillitatis	Was a repeat of a succesfull mission - collected valuable site location information used for Apollo missions 	Ranger 8 - Wikipedia	Ranger 8, launched by the USA on February 20, 1965, was another successful mission in the Ranger program, following the success of Ranger 7. Its objective was to transmit close-up images of the lunar surface back to Earth, which it achieved upon impacting the Moon on February 21, 1965, at coordinates 2.6377, 24.7881, in Mare Tranquillitatis. The images it sent back were used to help select landing sites for the upcoming Apollo missions and contributed to scientific studies of the lunar surface. Ranger 8's mission was a repeat of the successful approach used in Ranger 7, continuing the valuable collection of site location information that would be crucial for future human exploration of the Moon.
Ranger 9 	Impactor 	USA 	March 24, 1965	March 25, 1965	Transmist close-up images of the lunar surface back to Earth	Lunar Surface Images used to help select landing sites for Apollo missions and for scientific study	-12.83	-2.37	Alphonsus crater	Was a repeat of a succesfull mission - collected valuable site location information used for Apollo missions 	Ranger 9 - Wikipedia	Ranger 9, launched by the USA on March 24, 1965, was the final mission in the Ranger program. Its objective was to transmit close-up images of the lunar surface back to Earth, which it successfully did before impacting the Moon on March 25, 1965, at coordinates -12.83, -2.37, in the Alphonsus crater. The high-resolution images it provided were used to assist in selecting landing sites for the Apollo missions and for various scientific studies of the lunar surface. Like Ranger 8, Ranger 9's mission was a repeat of earlier successes, continuing to gather valuable site location information that would be crucial for human exploration during the Apollo program
Surveyor 1 	Lander 	USA 	June 2, 1966	7 January, 1967	Gather data about the lunar surface that would be needed for the rewed Apollo Moon missions	Surface Images - no scientific instruments specifically carried - radar reflectivity pf the lunar surface - load bearing strength of lunar surface - and lunar surface temperatures	-2.474	-43.339	Oceanus Procellarum	Showed ability to succesfully land softly on the Moon - collected data required for future Apollo Missions - Proved software and astrophysics worked	Surveyor 1 - Wikipedia	Surveyor 1, launched by the USA on June 2, 1966, was the first successful soft landing on the Moon. Its mission was to gather essential data about the lunar surface to support future crewed Apollo Moon missions. The lander operated until January 7, 1967, and provided valuable surface images, radar reflectivity data, and information on the lunar surface's load-bearing strength and temperatures at coordinates -2.474, -43.339, in Oceanus Procellarum. Although it did not carry specific scientific instruments, Surveyor 1's primary success lay in its ability to land softly on the Moon, proving the viability of soft-landing technology and providing critical data for the planning of the Apollo program. This mission also demonstrated the effectiveness of the software and astrophysics needed for the later, more complex lunar explorations.
Surveyor 2 	Lander 	USA 	September 23, 1966	September 24, 1966	Gather data about the lunar surface that would be needed for the rewed Apollo Moon missions	Failed - impacted surface due to faulty thruster 	-4	-11	Oceanus Procellarum	Continued proof that NASA was still ironing out their space flight programs 	Surveyor 2 - Wikipedia	Surveyor 2, launched by the USA on September 23, 1966, was intended to gather data about the lunar surface to support the Apollo missions. However, the mission ended in failure when the spacecraft impacted the Moon's surface on September 24, 1966, due to a malfunctioning thruster. The lander was supposed to provide surface data, including images and measurements, but the crash prevented it from completing its objectives. Despite the failure, Surveyor 2 was part of NASA's ongoing efforts to refine their spaceflight technologies and lunar landing capabilities, helping them learn from setbacks in preparation for future successful missions. The crash occurred near coordinates -4, -11, in Oceanus Procellarum.
Surveyor 3 	Lander 	USA 	April 20, 1967	May 3, 1967	Gather data about the lunar surface that would be needed for the rewed Apollo Moon missions	Surface Images - Carried Surface-soil sampling scoop 	-3.01612	-23.41791	Mare Cognitum	Was visited by Apollo 12 and parts dissembled for future analysis as to possibility pf interplanetary contamination - Only space probe that has ever been visited by humans on another galatic body - Provided data about soil composition for future Apollo missions - camera was partially obscured by dust, inspiring surveyor 4 side mission? 	Surveyor 3 - Wikipedia	Surveyor 3, launched by the USA on April 20, 1967, successfully landed on the Moon on May 3, 1967, to gather important data about the lunar surface in preparation for the crewed Apollo missions. The lander provided surface images and carried a surface-soil sampling scoop, which allowed for the collection of lunar soil. It landed in the Mare Cognitum region and provided key insights into the composition of the lunar surface, crucial for future Apollo missions. Notably, Surveyor 3 became the only space probe ever visited by humans when Apollo 12 astronauts visited the lander, collected samples, and even disassembled parts for analysis of potential interplanetary contamination. This visit, and the data it provided, was instrumental in ensuring the safety of future lunar missions. The Surveyor 3 camera was partially obscured by dust during its mission, inspiring a side mission with Surveyor 4 to address similar issues. The spacecraft's coordinates were -3.01612, -23.41791.
Surveyor 5 	Lander 	USA 	September 11, 1967	December 17, 1967	Gather data about the lunar surface that would be needed for the rewed Apollo Moon missions - alpha back scatter device used to determine lunar soil was consisted of Basaltic rock 	Surface Images - alpha back scatter device - conduct vernier engine erosion experiment - relative chemical make up of Lunar surface - obtain touch down dynamics data - obtain thermal and radar reflectivity data 	1.41	23.18	Mare Tranquillitatis	Conitnued providing Lunar surface data for Apollo missions - vernier engine erosion experminets were used to analyze the lunar surface permiability, surface cohesion, gas erosion, and adhesion to space crafts  - Gather orbital dynamics data for Apollo and expected lunar surface interferance	Surveyor 5 - Wikipedia TD-339 (Surveyor Vernier) Rocket Engine	Surveyor 5, launched by the USA on September 11, 1967, and operational until December 17, 1967, continued the vital mission of gathering lunar surface data for the upcoming crewed Apollo missions. Located in the Mare Tranquillitatis region, Surveyor 5 was equipped with a range of scientific instruments, including a surface imaging system and an alpha backscatter device, which helped determine that the lunar soil was primarily composed of basaltic rock. Additionally, it conducted experiments to analyze the lunar surface’s thermal and radar reflectivity, as well as the erosion dynamics of the Vernier engine, which provided valuable data on surface permeability, cohesion, gas erosion, and adhesion, crucial for the design of future lunar landers. The mission also gathered data on the lunar surface's chemical composition, touchdown dynamics, and the orbital interference effects anticipated for Apollo missions. This data significantly contributed to the planning and safety of subsequent lunar landings. The spacecraft's coordinates were 1.41, 23.18.
